ohyama,0.0,1.0,1.0,スタート
ohyama,95.718,96.751,1.033,あーなるほど
ohyama,140.046,141.894,1.848,もうもうねのね
ohyama,221.859,223.338,1.479,水水槽だよね
ohyama,258.154,259.225,1.071,そうっす
ohyama,361.633,362.521,0.888,動画
ohyama,408.205,412.616,4.411,ダート ありとかテーブルの足に履かせると
ohyama,414.061,415.174,1.113,つかないとか
ohyama,416.625,417.688,1.063,アリオネ
sugiyama,3.82,4.097,0.277,バカとテスト
sugiyama,9.295,10.774,1.479,プレゼント入れる
sugiyama,28.788,30.35,1.562,お金入れて 貯金 袋にして
sugiyama,39.364,41.041,1.677,家からお金にする
sugiyama,52.087,54.45,2.363,頭から靴下 かぶる
sugiyama,59.326,63.014,3.688,手袋の代わりにする
sugiyama,76.711,78.691,1.98,使えない しっかりかな
sugiyama,86.371,89.937,3.566,掃除道具としても あるんですか
sugiyama,91.68,94.268,2.588,背景 汚い床を拭き ふき
sugiyama,101.676,102.591,0.915,あるあるだったか
sugiyama,108.418,109.361,0.943,あと何かね
sugiyama,120.266,122.228,1.962,サドルカバーになりそうじゃない
sugiyama,126.684,128.887,2.203,サイズ的にちょっと
sugiyama,139.281,141.71,2.429,FM 成田
sugiyama,149.523,151.966,2.443,輪切りにしてもゴムにして
sugiyama,178.873,179.943,1.07,そうっすね
sugiyama,184.473,186.991,2.518,綺麗にピカピカのやつ 作るやつ
sugiyama,193.969,195.656,1.687,バンコク
sugiyama,201.811,205.661,3.85,泥団子を保管する 持ち運ぶ時に傷がつかないように
sugiyama,228.899,232.029,3.13,あれもあれかな ペットボトルカバー 2までね
sugiyama,244.549,251.014,6.465,でも一緒に待って あったかいやつに靴下履かせて それを外して履けばあったかいから喋る
sugiyama,253.873,255.084,1.211,火曜日
sugiyama,323.228,323.86,0.632,9
sugiyama,353.417,359.936,6.519,大分 靴下を 穴 拡大させて腕に通してあったかい みたいな
sugiyama,370.831,372.436,1.605,空いた穴を生かし
sugiyama,379.804,381.424,1.62,スナイパー 裸
sugiyama,391.676,392.873,1.197,カブトムシの服
sugiyama,420.422,421.619,1.197,あるある
