yokoyama,15.1,15.6,0.5,hai
yokoyama,20.025,20.375,0.35,靴下
yokoyama,88.025,89.75,1.725,いや結べばOK
yokoyama,166.325,169.35,3.025,なるほどそれもなかなか手間かかる
yokoyama,211.4,213.475,2.075,たしかにありそう
yokoyama,257.872,260.883,3.011,なんかそんなアイデア 初期 見たことあるから
yokoyama,439.05,441.1,2.05,水かとかある
yokoyama,441.475,442.6,1.125,とか
tsunoda,6.895,7.961,1.066,スタート
tsunoda,13.907,14.933,1.026,はい
tsunoda,17.413,20.528,3.115,靴下の新しい使い方を考えてください
tsunoda,44.138,45.087,0.949,久留米
tsunoda,45.65,46.75,1.1,いいね
tsunoda,52.532,58.539,6.007,何か入れるっていうのはありますよね クリスマスサンタクロース 映画 プレゼント 出てるみたいな
tsunoda,60.579,63.715,3.136,なんか生きている方向で とりあえず入れる 考えれそう
tsunoda,80.439,81.53,1.091,確かに
tsunoda,82.73,84.203,1.473,スタバはできないよ
tsunoda,113.46,114.533,1.073,あーなるほど
tsunoda,121.683,125.887,4.204,パクチーを結ぶ機能をつけたらなんか結構色々できそうですね
tsunoda,156.667,157.869,1.202,押し倒
tsunoda,160.028,161.534,1.506,玉ねぎ つなげて 漢字3って
tsunoda,203.744,205.556,1.812,それ思いました
tsunoda,207.115,209.349,2.234,いただき ある時に手に靴下をはめる
tsunoda,212.039,213.525,1.486,あったかいね
tsunoda,223.855,226.85,2.995,確かに
tsunoda,229.8,232.721,2.921,人間の足じゃなくて 机の脚になってるだけで
tsunoda,245.034,246.234,1.2,あーなるほど
tsunoda,265.083,268.603,3.52,掃除できるスリッパみたいな なんか売ってた気がします
tsunoda,296.187,297.524,1.337,あーなるほど
tsunoda,298.864,300.917,2.053,青だし快適だ
tsunoda,306.108,311.81,5.702,忘れていたリハビリじゃなくて普通に思い靴下を作って筋トレをする的な
tsunoda,317.357,320.298,2.941,バケツでいいじゃんっていう話ならそうすけ
tsunoda,328.621,330.265,1.644,いいですかね
tsunoda,331.678,332.924,1.246,靴下 投げ選手権 なる
tsunoda,376.523,378.625,2.102,松中に追いかけっこ
tsunoda,380.082,386.275,6.193,言われる なぜクレヨンしんちゃんとかでお父さんが 崩した攻撃 みたいな
