"yokoyama","",16.781,18.82,2.039,"おっぱいます 始めていいらしいですね"
"yokoyama","",68.763,72.266,3.503,"赤くて重い 重くて体積が稼げるからな"
"yokoyama","",118.033,118.783,0.75,"ダンベルみたいな"
"yokoyama","",201.583,203.183,1.6,"ぶんちんとかどうかな"
"yokoyama","",210.015,214.706,4.691,"誰 ごめん なんか 通信状況もあるんかな これじゃないかも"
"yokoyama","",260.266,263.966,3.7,"あれいなくなった、いた"
"yokoyama","",271.611,272.591,0.98,"でかくして"
"yokoyama","",318.066,319.316,1.25,"しそうだな"
"yokoyama","",443.167,443.949,0.782,"重いな"
"tsunoda","",15.005,16.47,1.465,"新しい 使い方"
"tsunoda","",29.154,29.824,0.67,"TENGA"
"tsunoda","",36.405,38.1,1.695,"ベンチの代わりにはなりそうですね"
"tsunoda","",40.67,42.175,1.505,"重さを生かして"
"tsunoda","",96.208,100.049,3.841,"アクティブなものって具体的に何ですかね"
"tsunoda","",101.87,105.616,3.746,"一番遠くに投げた人が勝ち 選手権をできますね"
"tsunoda","",132.322,137.264,4.942,"10形の直方体の形 限定 なんですかね"
"tsunoda","",158.072,158.94,0.868,"花瓶"
"tsunoda","",207.333,208.766,1.433,"一番最初に言いました"
"tsunoda","",237.016,241.532,4.516,"綾部 距離も結局投げるとか転がすけど あっ そうだよね"
"tsunoda","",256.817,258.016,1.199,"あーあー"
"tsunoda","",268.182,269.348,1.166,"まりんか"
"tsunoda","",273.277,274.516,1.239,"あーなるほどね"
"tsunoda","",314.586,316.301,1.715,"むちゃくちゃ重い"
"tsunoda","",335.286,337.04,1.754,"あー確かに"
"tsunoda","",358.038,360.248,2.21,"面白さは増しますね"
"tsunoda","",413.22,416.235,3.015,"松森なか カレー"
"tsunoda","",418.226,421.666,3.44,"今なら直方体の形に着目するんじゃなくて"
"tsunoda","",422.75,429.768,7.018,"材質的な側面で何かメリットがあるんじゃないか っていうことやね"
"tsunoda","",445.174,446.501,1.327,"って何がいいんですかね"
"tamura","",17.943,19.507,1.564,"スタート押して"
"tamura","",38.553,40.352,1.799,"おまたさえあれば"
"tamura","",62.121,65.266,3.145,"と祈ってレンガを使うメリットってなんかあるんですかね"
"tamura","",66.767,69.189,2.422,"そもそものレンガの特徴"
"tamura","",74.905,76.172,1.267,"そういう点では"
"tamura","",107.916,109.799,1.883,"重さですか 重いから"
"tamura","",119.395,121.04,1.645,"それなりに 重される"
"tamura","",139.882,143.215,3.333,"何か 焼いて作る時の形によって"
"tamura","",144.699,147.517,2.818,"別のは作れるんじゃないかなと"
"tamura","",288.279,292.786,4.507,"はいはい 熱の投資はそれなりに熱を遮断かできるかな"
"tamura","",301.043,302.351,1.308,"確かに"
"tamura","",334.129,338.256,4.127,"形が形がそのままままだ"
"tamura","",347.166,349.166,2.0,"あたらなんか"
"tamura","",357.173,358.44,1.267,"闇のジェンガ"
"tamura","",401.533,405.949,4.416,"それが素材でまたなんか"
"tamura","",412.67,414.023,1.353,"ラバーとかあります"
"konishi","",19.259,20.812,1.553,"はい"
"konishi","",23.767,25.076,1.309,"押しました"
"konishi","",27.779,29.024,1.245,"レンガ"
