Start,End,Condition,Num,Text
1.1492999999523164,3.5615,2,4,スタート
37.80979999995232,39.838900000095364,2,4,確かに
44.54179999995232,48.27710000014305,2,4,食べたら 猫が出る
72.87940000009537,73.67710000014306,2,4,方法
107.83970000004769,110.00160000014306,2,4,epist もそうだった気がする
120.98490000009537,123.1495,2,4,確かに
129.23610000014304,131.05879999995233,2,4,危ないスポーツシリーズ ね
133.04590000009537,134.32660000014306,2,4,それだったら 鍋の逆に二つか
136.61710000014304,137.8947000000477,2,4,できるよね
158.034,159.19220000004768,2,4,確かに
186.44040000009537,187.26170000004768,2,4,そうだね
202.7012000000477,204.5777999999523,2,4,確かにね
210.97829999995233,212.53160000014304,2,4,有能 じゃん
225.61660000014305,227.3295,2,4,頑張ってくれ
241.11679999995232,242.972,2,4,まあ それでも最終 つったよな
250.3815,251.3655,2,4,あーなるほど
254.25260000014305,255.6815,2,4,ヘルメット 的な
267.9297999999523,269.3027000000477,2,4,確かにね
280.92970000004766,286.24440000009537,2,4,確かに みんなの思い浮かべてる鍋がそれぞれ違うからね
300.1835,301.45979999995234,2,4,そうなの
310.50579999995233,311.698,2,4,運びやすい
347.4932000000477,349.5446000001431,2,4,スロット 叩くやつも鍋
359.83440000009534,361.4375,2,4,確かにね
395.76029999995234,398.412100000143,2,4,鍋の底
400.09640000009534,401.56960000014305,2,4,確かに
408.7937000000477,412.2985,2,4,中色んな鍋の種類あったらいろんな 円の大きさをかけるね
424.7375,429.797,2,4,中どうしても鍋って冬のイメージあるから夏に何か使えるといいね
433.21540000009537,435.09479999995233,2,4,AI
