Start,End,Condition,Num,Text
2.79120000000298,4.34190000000596,2,3,押しました
6.750600000008941,7.742800000011921,2,3,鍋
25.61420000000298,27.674,2,3,楽器
29.79060000000894,36.38820000000298,2,3,いいですね 鍋 東西 大きさとか 叩くものによって高さが変わって
37.54740000000596,38.924,2,3,音楽になりそう
50.58810000000894,51.47720000000298,2,3,家
76.92440000000596,79.93090000000596,2,3,何かお店で壁になれかかってるとこ
86.55390000000597,89.28370000000298,2,3,料理屋さんで まちっちゃい鍋とか
91.84230000001192,92.94970000000298,2,3,僕だけですか
99.92760000000894,101.85010000000894,2,3,あるあるあるある 結構ある
103.34560000000894,104.92610000000894,2,3,頭がフライパンになってる
110.07210000000894,112.09730000001193,2,3,アリスティンだそうだ
123.10210000000895,124.58860000000894,2,3,卓球はできそう
131.80010000000894,133.27560000000895,2,3,誰だことはない
138.617,140.18530000001192,2,3,あー確かに
158.5915,161.2955,2,3,入れ物としてのよかわ は 何でもできます
164.548,165.15020000000297,2,3,まあ
182.65880000001192,187.2555,2,3,あれを縦にも権利もなるっていうかもよりも 公的にも使えそう
200.68090000000595,202.526,2,3,風呂場の桶の代わりにはなりそうです
239.39280000001193,240.48770000000297,2,3,河田歯科
277.397400000006,283.0318000000119,2,3,あれが何で高いか 明日メダルか使い 滑らかで
303.6273000000119,304.4076000000089,2,3,あー確かに
315.33080000001195,316.91210000000893,2,3,移動移動です
343.83890000000594,345.75770000000296,2,3,叩いてかぶってジャンケンポンで
347.84540000000595,349.5683000000119,2,3,守れるし
351.250400000006,352.6195,2,3,やつも鍋です
354.749700000003,356.08410000000896,2,3,命がけよ
358.62490000000594,360.41780000001194,2,3,リスクだったら楽しんでね
371.390700000003,372.747200000003,2,3,飴を溶かす
378.006700000003,379.28080000001194,2,3,鉄だよそれは
