Start,End,Condition,Num,Text
17.94269999998808,19.507,0,4,スタート押して,tamura
38.55279999998212,40.351599999994036,0,4,おまたさえあれば,tamura
62.12050000000001,65.26619999998807,0,4,と祈ってレンガを使うメリットってなんかあるんですかね,tamura
66.76719999998808,69.18890000000596,0,4,そもそものレンガの特徴,tamura
74.905,76.17209999999405,0,4,そういう点では,tamura
106.97329999998212,109.7815,0,4,重さですか 重いから,tamura
119.39540000000596,121.0395,0,4,それなりに 重される,tamura
139.88190000000597,143.21529999998214,0,4,何か 焼いて作る時の形によって,tamura
144.69879999998213,147.51719999998807,0,4,別のは作れるんじゃないかなと,tamura
288.2786999999881,292.786,0,4,はいはい 熱の投資はそれなりに熱を遮断かできるかな,tamura
301.0426999999881,302.35079999998214,0,4,確かに,tamura
334.12859999999404,338.25550000000004,0,4,形が形がそのままままだ,tamura
357.1731999999881,358.44029999998213,0,4,闇のジェンガ,tamura
401.53279999998216,403.41779999998215,0,4,それが素材でまたなんか,tamura
404.8951999999881,408.16829999998214,0,4,できるかもしれん,tamura
412.67029999998215,414.0230999999941,0,4,ラバーとかあります,tamura
