Start,End,Condition,Num,Text
19.25929999995232,20.812199999928477,0,3,はい
23.766600000023843,25.076100000023843,0,3,押しました
27.77929999995232,29.023699999928475,0,3,レンガ
39.340699999928475,40.30389999997616,0,3,重いからね
123.17860000002383,123.919,0,3,ダンベルの代わりになるね
153.624,155.52450000000002,0,3,なんか後か便とか
160.805,162.06289999997617,0,3,赤レンガとは言わないけど
173.22660000002384,175.0095,0,3,大きいのだと使われてません
177.0702999999523,178.03589999997618,0,3,すっごいでっかいやつだと
188.7235,189.7181999999285,0,3,レンガ
205.30810000002384,206.19,0,3,初手でませんでした
218.86689999997617,220.39210000002385,0,3,レンガ
232.63779999995234,234.72919999992848,0,3,どんどん 壁 削れてくる
256.1831999999285,257.6972999999523,0,3,角田が
265.85879999995234,267.4132999999523,0,3,点滅してる
275.44260000002384,277.09539999997617,0,3,破壊するが
292.79719999992847,294.0415,0,3,ピザ窯と客 みたいな
314.5572999999523,315.59589999997615,0,3,理論上はね
330.9747999999523,332.31779999995234,0,3,あれでやったぜ
338.18850000000003,339.42219999992847,0,3,形がもう
341.0746999999285,343.05289999997615,0,3,人間に向いてるから
349.4097999999523,351.2776999999285,0,3,スリルあって
352.8052999999523,357.2922999999523,0,3,命のやり取りの石 レンガ使って私はあったほうが
361.38479999995235,362.2078999999762,0,3,カイジでやってそう
450.4073999999762,451.78139999997614,0,3,可愛い
454.569,455.75560000002383,0,3,テスト
