"Start","End","Condition","Num","Text"
"0","1.1431000000238418","2","0","じゃあ スタート"
"2.836399999976158","4.034","2","0","演歌"
"31.771100000023843","32.89789999997616","2","0","新しい"
"31.771100000023843","56.08229999995232","2","0","7"
"83.85639999997616","85.90479999995232","2","0","思い切ってジェンガ しようぜ"
"190.3862999999523","191.29139999997616","2","0","積みレンガ"
"203.4175","204.80489999997616","2","0","天気やら何やらで"
"234.78439999997616","236.3287999999523","2","0","新しい順 価格"
"301.2392999999523","302.1202999999523","2","0","新しい"
"332.7141999999285","334.11060000002385","2","0","はんがね"
"354.20260000002384","355.8497999999523","2","0","いい言葉だね"
"401.36239999997616","407.34369999992845","2","0","でも 中ちゃんとしたレンガの使い方ではあるよね 家の中にあるし"
"413.67","417.24079999995234","2","0","高さ方向に積み上げて行くので考える"
"419.10260000002387","420.8031999999285","2","0","身長とか履かれそうだよ"
"439.0157999999523","441.03660000002384","2","0","管理する"
