Start,End,Condition,Num,Text
1.2655999999940395,3.59240000000596,0,4,アイ スタート
13.269599999994039,16.852599999994037,0,4,まず寝ますね 時期的にもね
19.017299999997018,20.28220000000298,0,4,新政 0
33.38290000000596,34.32309999999404,0,4,7
35.84209999999404,38.62570000000298,0,4,きってことね ああ私
44.55029999999702,45.35570000000298,0,4,マホト 音
51.49520000000298,52.70990000000596,0,4,かぶりもの
56.15570000000298,57.723299999997025,0,4,だから 靴下 かぶれ
66.31259999999403,68.70620000000298,0,4,掃除の年末大掃除のテクニックの一つ
91.62129999999702,93.33640000000595,0,4,掃除
96.3085,98.30029999999701,0,4,母ありましたね
119.31759999999403,121.44170000000298,0,4,靴下 ね
129.352200000003,131.16679999999704,0,4,差し筋
132.82540000000597,136.84779999999702,0,4,やっぱバラバラにしてそのままの形を活かすんじゃなくて
138.27970000000298,140.28009999999404,0,4,自分で考えましょう やっぱ
144.864,146.5595,0,4,ジグソーパズル やっぱり
153.77859999999404,154.35509999999405,0,4,あー
164.88040000000598,166.58090000000598,0,4,輪ゴム カー
197.97340000000597,198.846,0,4,海
201.831700000003,204.163200000003,0,4,あーでも私
211.01740000000598,213.57709999999406,0,4,ちょうどちょうどちょうど 振り回せますもんね
219.5115,222.11629999999704,0,4,ぐちょぐちょ
219.5115,239.625,0,4,吐いたやつをね
241.71540000000596,244.2665,0,4,私は一度使用済みよね
303.883299999997,306.341400000006,0,4,靴下 ね
318.3815,319.56140000000596,0,4,バラ
337.3360999999941,339.73909999999404,0,4,靴下履くものを
366.955299999997,368.098900000006,0,4,あったかいですね
421.76300000000003,423.28509999999403,0,4,新規性が
441.77250000000004,443.03990000000596,0,4,おもらし
452.736200000003,453.933200000003,0,4,処女らしい
