Start,End,Condition,Num,Text
7.464200000047684,8.891900000035763,0,0,やっぱサンタクロースか
10.428400000035763,12.2475,0,0,めちゃ忙しくない
29.73040000003576,31.296,0,0,あー
53.670100000023844,54.89030000001192,0,0,変態チック 店
60.402,62.751700000047684,0,0,ああああ 確かね
92.5225,94.21230000001192,0,0,ハイター 入って
136.15130000001193,139.17770000004768,0,0,刻んだらただの布 布
144.47960000002385,147.0995,0,0,あれあれあれ
168.3973000000119,169.3745,0,0,何だっけ
170.51740000003576,173.74020000004768,0,0,あれだ あの泥団子 磨くのに使えるって
194.11580000001192,195.25380000001192,0,0,買う
208.30670000004767,211.43510000002385,0,0,あれだ 三角コーナーに使わ
213.8468000000119,214.98830000001192,0,0,シンクの
234.7365,236.89660000002385,0,0,再生早いですよ
249.0572000000477,250.47190000003576,0,0,あーそれいいなー
252.93120000004768,254.8313000000119,0,0,合鍵
258.23220000004767,259.01380000001194,0,0,安来
260.8265,262.05220000004766,0,0,あったかい よっつって
267.04840000003577,269.03640000003577,0,0,煙出てたらもっと嫌だな
303.40040000003575,305.14210000002385,0,0,靴下 ね
320.9362000000477,323.72410000002384,0,0,靴下 靴下
327.8902000000477,329.6333000000119,0,0,つしたなー
341.0387000000477,343.9457000000477,0,0,まあ 穴空いた靴下
359.40160000002385,360.54270000004766,0,0,3文て
370.2642000000477,372.255,0,0,ルーズソックス 腹巻にしよう
373.54470000004767,375.83410000002385,0,0,あれあれすごい伸びるから
381.74710000002386,382.98690000003575,0,0,それ良さそう
392.5703000000119,393.8236000000238,0,0,いいなあ
413.3978000000119,414.3032000000477,0,0,いいね
418.37810000002384,419.7544000000358,0,0,千歳 日向
423.40080000001194,425.997,0,0,あーそういうことか 靴下の利用法
429.74980000001193,431.89840000003574,0,0,妻は貯金箱が一番いいな
440.06090000003576,443.51120000004767,0,0,鳥取出し 痩せて毛切って 穴あけて ちょ待って
447.5487000000477,448.42310000002385,0,0,終わり
