Start,End,Condition,Num,Text
5.8335,8.909699999999255,2,1,うまそうだね
10.325699999999255,11.91379999999702,2,1,一般的だね
15.640699999999255,17.19379999999702,2,1,ちょっとかけてるね
25.0905,27.730699999999253,2,1,一般的に広く使える
53.209299999997015,55.884699999999256,2,1,ヘビゲーム
63.614999999999995,65.23619999999926,2,1,結構 一般的な使い方
71.54629999999702,72.65559999999776,2,1,独創性に欠けるな
117.7018999999985,119.64219999999925,2,1,割高 ってやついる
142.5313999999985,144.52629999999704,2,1,ミラに巻く
150.15629999999703,151.37750000000003,2,1,赤土にする
210.67329999999703,211.7380999999978,2,1,あります
220.6310999999978,221.5925,2,1,レンガで
244.46309999999778,245.33200000000002,2,1,いいね
252.85750000000002,254.24779999999703,2,1,夢 銀
266.11159999999774,268.1538999999985,2,1,ちょっと 形 変えていきますか
285.719299999997,286.5853999999985,2,1,結局
287.69759999999775,289.1578999999985,2,1,それがベストだったのか
359.477,361.03,2,1,独創性あるな
370.7085999999978,372.3601999999992,2,1,あはははは
373.827299999997,374.94559999999774,2,1,怨念 怨念 感じるよ
