"Start","End","Condition","Num","Text"
"0","1.37","1","5","下開けて"
"21.161400000005962","21.998100000023843","1","5","一個一個"
"38.567600000023845","39.53030000001192","1","5","いい靴下"
"44.41810000002384","46.75890000000596","1","5","まあ そうですね"
"57.84610000002384","59.21970000001788","1","5","何か 細長い"
"60.5985","61.7095","1","5","筆箱 みたいなもん"
"63.36170000001788","69.8525","1","5","とかそういうものとか細長い物を入れるケース筆箱の代わりになるかもしれない"
"75.82960000002385","77.0545","1","5","ひっくり返さ以外で"
"87.501","90.37210000002383","1","5","そんな買い物 馬鹿野郎"
"129.3205","131.1448000000119","1","5","虫刺され こと さっき"
"132.69310000002383","134.5125","1","5","今この時に出てたバンジージャンプ"
"135.28360000002385","137.06130000001193","1","5","また再利用しますか"
"140.4805","142.91930000001193","1","5","OK 全てが好き"
"148.51460000002385","149.8105","1","5","キャバクラ 内装 そうそう"
"151.2595","155.49120000001787","1","5","もしかしたらもしかしたら解けるかもしれないけどまあ"
"156.5865","158.18060000002384","1","5","それが過ぎるよ"
"193.60440000000597","194.46","1","5","てるから"
"233.2125","234.44380000001192","1","5","オビドレルになる"
"244.13790000000597","245.565","1","5","歩くだけ 掃除になる"
"251.367","252.33090000000595","1","5","これに関しては何か"
"280.81010000002385","282.7445","1","5","骨折した時とかかな"
"302.921","304.2072000000179","1","5","筋トレ 靴下"
"326.5032000000179","327.90860000002385","1","5","そういう時期はありそうです"
"344.72090000000594","347.14460000002384","1","5","中の重さ 自由に設定したい"
"348.614","350.3762000000179","1","5","虚偽性ができるかもしれん"
"351.6713000000119","353.6568000000119","1","5","集めるだけ フリマ 礼拝会うかもしれない"
"425.30020000001787","426.6987000000179","1","5","俺たちか"
"433.66120000001786","436.131","1","5","細長い形にいい感じにやりたい場合とか"
"439.00660000002387","440.6482000000179","1","5","会話を終了してください はい"
